Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Count,log_Critic_count,log_Critic_Score,log_Critic_count_is_bad,log_Critic_Score_is_bad,User_Count_is_bad,Small_Publisher,Medium_Publisher,Big_Publisher
SNES,1994.0,Platform,4.36,1.71,3.0,0.23,9.3,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
X360,2013.0,Misc,5.7,2.65,0.02,0.81,9.18,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,1
3DS,2012.0,Simulation,2.03,2.36,4.39,0.39,9.16,626.0,4.248495242049359,4.477336814478207,0,0,0,0,0,0
DS,2007.0,Misc,4.4,1.85,1.98,0.68,8.91,85.0,3.295836866004329,4.276666119016055,0,0,0,0,0,0
X360,2011.0,Role-Playing,5.05,2.79,0.1,0.85,8.79,3589.0,4.48863636973214,4.564348191467836,0,0,0,0,1,0
SNES,1992.0,Racing,3.54,1.24,3.81,0.18,8.76,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS4,2015.0,Sports,1.12,6.12,0.06,1.28,8.57,896.0,3.7376696182833684,4.406719247264253,0,0,0,0,0,0
XB,2004.0,Shooter,6.82,1.53,0.05,0.08,8.49,1218.0,4.51085950651685,4.553876891600541,0,0,0,0,0,1
Wii,2010.0,Misc,1.75,3.47,2.49,0.67,8.38,54.0,3.7376696182833684,4.219507705176107,0,0,0,0,0,0
Wii,2007.0,Misc,3.74,2.24,1.58,0.7,8.27,190.0,3.713572066704308,4.127134385045092,0,0,0,0,0,0
PS3,2012.0,Action,1.06,5.01,0.13,1.97,8.16,348.0,3.6109179126442243,4.477336814478207,0,0,0,0,0,0
N64,1997.0,Shooter,5.8,2.01,0.13,0.15,8.09,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
DS,2012.0,Role-Playing,2.79,1.72,3.14,0.41,8.07,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS2,2001.0,Role-Playing,2.91,2.07,2.73,0.33,8.05,1056.0,3.970291913552122,4.5217885770490405,0,0,0,0,0,0
PC,2009.0,Simulation,0.99,6.42,0.0,0.6,8.01,886.0,4.31748811353631,4.454347296253507,0,0,0,0,0,0
Wii,2007.0,Sports,2.57,3.86,0.66,0.91,7.99,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS4,2015.0,Shooter,2.99,3.49,0.22,1.28,7.98,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS,1999.0,Role-Playing,2.28,1.72,3.63,0.23,7.86,644.0,3.1780538303479458,4.499809670330265,0,0,0,0,1,0
2600,1982.0,Puzzle,7.28,0.45,0.0,0.08,7.81,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
DS,2008.0,Role-Playing,2.76,1.72,2.69,0.54,7.72,203.0,3.828641396489095,4.418840607796598,0,0,0,0,0,0
PSP,2005.0,Action,2.9,2.81,0.24,1.73,7.69,451.0,4.174387269895637,4.477336814478207,0,0,0,0,0,0
PS4,2014.0,Shooter,2.81,3.48,0.14,1.23,7.66,1443.0,3.6635616461296463,4.418840607796598,0,0,0,0,0,0
N64,1998.0,Action,4.1,1.89,1.45,0.16,7.6,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS4,2016.0,Sports,0.66,5.75,0.08,1.11,7.59,398.0,3.713572066704308,4.442651256490317,0,0,0,0,0,0
PS,1997.0,Platform,3.78,2.17,1.31,0.31,7.58,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
3DS,2014.0,Fighting,3.27,1.37,2.43,0.48,7.55,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
Wii,2010.0,Platform,3.56,2.35,0.98,0.62,7.51,1854.0,4.465908118654584,4.574710978503383,0,0,0,0,0,0
NES,1988.0,Platform,5.39,1.18,0.7,0.19,7.46,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
XOne,2015.0,Shooter,4.59,2.11,0.01,0.68,7.39,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
X360,2008.0,Shooter,4.81,1.88,0.0,0.69,7.38,580.0,4.430816798843313,4.430816798843313,0,0,0,0,0,0
X360,2011.0,Shooter,4.46,2.11,0.06,0.69,7.32,2142.0,4.04305126783455,4.430816798843313,0,0,0,0,0,0
PS2,2003.0,Racing,3.27,2.83,0.08,1.02,7.2,171.0,3.4965075614664802,4.442651256490317,0,0,0,0,0,0
Wii,2009.0,Misc,3.48,2.99,0.0,0.73,7.2,110.0,3.044522437723423,3.8918202981106265,0,0,0,0,0,0
PS3,2011.0,Shooter,2.85,2.89,0.35,1.08,7.17,1761.0,3.6375861597263857,4.442651256490317,0,0,0,0,0,0
PS4,2015.0,Role-Playing,2.53,3.27,0.24,1.13,7.16,4228.0,4.060443010546419,4.465908118654584,0,0,0,0,1,0
PS,1998.0,Fighting,3.27,2.22,1.4,0.29,7.16,367.0,2.70805020110221,4.564348191467836,0,0,0,0,0,0
Wii,2006.0,Action,3.74,2.14,0.6,0.68,7.15,1658.0,4.290459441148391,4.553876891600541,0,0,0,0,0,0
3DS,2016.0,Role-Playing,2.98,1.45,2.26,0.45,7.14,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS,1998.0,Platform,3.68,1.75,1.42,0.28,7.13,432.0,2.4849066497880004,4.51085950651685,0,0,0,0,0,0
WiiU,2014.0,Racing,3.15,2.15,1.28,0.51,7.09,1599.0,4.406719247264253,4.477336814478207,0,0,0,0,0,0
GC,2001.0,Fighting,4.41,1.04,1.39,0.22,7.07,568.0,3.6375861597263857,4.5217885770490405,0,0,0,0,0,0
GC,2003.0,Racing,4.12,1.77,0.87,0.19,6.95,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS2,2004.0,Racing,2.71,3.02,0.08,1.09,6.9,132.0,3.6635616461296463,4.406719247264253,0,0,0,0,0,0
PS2,2002.0,Shooter,2.93,2.75,0.17,0.99,6.83,135.0,3.367295829986474,4.477336814478207,0,0,0,0,0,0
PS,1996.0,Platform,3.23,2.35,0.94,0.3,6.82,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
Wii,2012.0,Misc,4.05,2.16,0.0,0.55,6.76,28.0,2.302585092994046,4.30406509320417,0,0,0,0,0,0
X360,2008.0,Shooter,4.15,1.9,0.06,0.64,6.75,2739.0,4.499809670330265,4.532599493153256,0,0,0,0,0,1
PS3,2011.0,Action,2.77,2.75,0.19,1.03,6.74,3712.0,4.574710978503383,4.5217885770490405,0,0,0,0,0,0
Wii,2010.0,Sports,3.45,2.59,0.0,0.66,6.71,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,1
PS3,2007.0,Shooter,3.11,2.26,0.28,1.03,6.68,993.0,3.784189633918261,4.543294782270004,0,0,0,0,0,0
PS3,2009.0,Action,3.27,2.2,0.21,0.98,6.66,5187.0,4.653960350157523,4.564348191467836,0,0,0,0,0,0
PS3,2011.0,Sports,0.84,4.3,0.11,1.39,6.65,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
DS,2005.0,Misc,1.66,2.75,1.6,0.62,6.62,27.0,3.8066624897703196,4.30406509320417,0,0,0,0,0,0
NES,1986.0,Action,3.74,0.93,1.69,0.14,6.51,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS3,2010.0,Action,2.79,2.53,0.17,0.99,6.49,2456.0,4.290459441148391,4.553876891600541,0,0,0,0,0,0
PS3,2013.0,Sports,0.78,4.24,0.07,1.37,6.47,576.0,3.6109179126442243,4.454347296253507,0,0,0,0,0,0
PS3,2012.0,Action,2.64,2.52,0.16,1.12,6.45,1307.0,3.713572066704308,4.442651256490317,0,0,0,0,0,0
Wii,2010.0,Platform,3.17,1.79,1.03,0.46,6.44,368.0,4.343805421853684,4.465908118654584,0,0,0,0,0,0
XB,2001.0,Shooter,4.98,1.3,0.08,0.07,6.43,1283.0,4.219507705176107,4.574710978503383,0,0,0,0,0,1
PS3,2011.0,Role-Playing,2.55,2.6,0.25,1.0,6.41,2527.0,2.772588722239781,4.5217885770490405,0,0,0,0,1,0
GBA,2004.0,Role-Playing,2.57,1.58,2.06,0.21,6.41,222.0,3.332204510175204,4.330733340286331,0,0,0,0,0,0
PS2,2002.0,Role-Playing,3.64,1.2,1.49,0.07,6.4,597.0,3.828641396489095,4.442651256490317,0,0,0,0,0,0
GB,2000.0,Role-Playing,2.55,1.56,1.29,0.99,6.39,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
X360,2009.0,Shooter,4.34,1.34,0.06,0.61,6.34,1163.0,4.543294782270004,4.418840607796598,0,0,0,0,0,1
X360,2010.0,Action,3.7,1.95,0.09,0.58,6.32,2316.0,4.564348191467836,4.553876891600541,0,0,0,0,0,0
GC,2002.0,Platform,4.01,1.26,0.87,0.17,6.31,439.0,4.110873864173311,4.5217885770490405,0,0,0,0,0,0
SNES,1992.0,Fighting,2.47,0.83,2.87,0.12,6.3,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PC,2004.0,Role-Playing,0.08,6.21,0.0,0.0,6.29,2182.0,4.04305126783455,4.532599493153256,0,0,0,0,0,0
PS,1999.0,Action,3.11,2.8,0.02,0.33,6.27,78.0,3.091042453358316,4.465908118654584,0,0,0,1,0,0
X360,2011.0,Shooter,4.05,1.59,0.07,0.5,6.21,1504.0,4.564348191467836,4.51085950651685,0,0,0,0,0,1
X360,2010.0,Sports,3.92,1.73,0.03,0.51,6.19,95.0,3.9318256327243257,4.290459441148391,0,0,0,0,0,1
X360,2006.0,Shooter,3.54,1.88,0.07,0.6,6.09,2295.0,4.477336814478207,4.543294782270004,0,0,0,0,0,1
PS4,2014.0,Sports,0.8,4.33,0.05,0.9,6.08,988.0,3.8501476017100584,4.406719247264253,0,0,0,0,0,0
