Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Count,log_Critic_count,log_Critic_Score,log_Critic_count_is_bad,log_Critic_Score_is_bad,User_Count_is_bad,Small_Publisher,Medium_Publisher,Big_Publisher
PS4,2014.0,Adventure,0.12,0.25,0.02,0.07,0.46,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,1,0,0
X360,2006.0,Sports,0.42,0.0,0.0,0.04,0.46,60.0,3.4657359027997265,4.07753744390572,0,0,0,0,0,0
PS2,2005.0,Shooter,0.38,0.01,0.0,0.06,0.46,30.0,3.4011973816621555,4.406719247264253,0,0,0,0,0,0
DS,2008.0,Platform,0.26,0.15,0.0,0.05,0.46,10.0,2.1972245773362196,4.04305126783455,0,0,0,0,0,1
2600,1983.0,Action,0.43,0.03,0.0,0.0,0.46,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS2,2002.0,Action,0.22,0.18,0.0,0.06,0.46,29.0,3.6109179126442243,4.382026634673881,0,0,0,0,0,0
Wii,2010.0,Racing,0.17,0.23,0.0,0.05,0.46,18.0,2.0794415416798357,3.912023005428146,0,0,0,0,0,0
PS2,2003.0,Misc,0.22,0.18,0.0,0.06,0.46,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
GBA,2001.0,Action,0.33,0.12,0.0,0.01,0.46,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
GBA,2003.0,Racing,0.33,0.12,0.0,0.01,0.46,12.0,1.791759469228055,4.343805421853684,0,0,0,0,0,1
DS,2007.0,Puzzle,0.42,0.01,0.0,0.03,0.46,162.22990777338603,2.6390573296152584,4.174387269895637,0,0,1,0,1,0
PS3,2014.0,Action,0.12,0.27,0.0,0.07,0.46,10.0,2.999073846901081,4.209473102829448,1,1,0,0,0,1
PS3,2012.0,Action,0.21,0.15,0.04,0.06,0.46,262.0,3.713572066704308,4.1588830833596715,0,0,0,0,0,0
DS,2008.0,Action,0.22,0.0,0.22,0.02,0.46,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
Wii,2010.0,Fighting,0.29,0.13,0.0,0.04,0.46,162.22990777338603,1.9459101490553132,4.276666119016055,0,0,1,0,0,0
PS2,2009.0,Platform,0.22,0.17,0.0,0.06,0.46,32.0,2.0794415416798357,4.276666119016055,0,0,0,0,0,0
PS2,2002.0,Misc,0.0,0.0,0.46,0.0,0.46,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,1,0
WiiU,2015.0,Action,0.21,0.21,0.0,0.04,0.46,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,1
PC,2011.0,Simulation,0.0,0.38,0.0,0.08,0.46,17.0,2.999073846901081,4.209473102829448,1,1,0,0,0,0
PS,2000.0,Racing,0.25,0.17,0.0,0.03,0.46,6.0,2.3978952727983707,4.143134726391533,0,0,0,0,0,0
PS,1999.0,Fighting,0.25,0.17,0.0,0.03,0.46,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,1,0
PS2,2005.0,Shooter,0.22,0.17,0.0,0.06,0.46,51.0,3.2188758248682006,4.060443010546419,0,0,0,1,0,0
Wii,2009.0,Platform,0.29,0.13,0.0,0.04,0.46,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,1
SNES,1994.0,Shooter,0.0,0.0,0.46,0.0,0.46,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,1,0,0
PS2,2002.0,Role-Playing,0.14,0.11,0.17,0.04,0.46,19.0,3.1354942159291497,4.248495242049359,0,0,0,0,0,0
GBA,2003.0,Role-Playing,0.0,0.0,0.45,0.01,0.46,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS3,2007.0,Racing,0.35,0.06,0.0,0.05,0.46,8.0,3.4965075614664802,4.204692619390966,0,0,0,0,0,0
Wii,2009.0,Puzzle,0.33,0.09,0.0,0.04,0.46,37.0,3.871201010907891,4.454347296253507,0,0,0,0,0,0
XB,2003.0,Sports,0.36,0.08,0.0,0.02,0.46,31.0,3.784189633918261,4.48863636973214,0,0,0,0,0,1
PSP,2006.0,Shooter,0.23,0.14,0.0,0.09,0.46,64.0,2.9444389791664403,4.174387269895637,0,0,0,0,0,0
PS,1995.0,Simulation,0.25,0.17,0.0,0.03,0.46,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
X360,2007.0,Action,0.3,0.12,0.0,0.04,0.46,14.0,3.2188758248682006,3.713572066704308,0,0,0,0,0,0
PSP,2006.0,Action,0.09,0.24,0.0,0.12,0.46,30.0,3.332204510175204,4.204692619390966,0,0,0,0,0,1
XOne,2013.0,Misc,0.3,0.11,0.0,0.04,0.45,58.0,1.791759469228055,4.2626798770413155,0,0,0,0,0,0
PS3,2009.0,Role-Playing,0.0,0.0,0.45,0.0,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
GBA,2005.0,Platform,0.33,0.12,0.0,0.01,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
DS,2008.0,Platform,0.26,0.15,0.0,0.03,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS,1999.0,Shooter,0.25,0.17,0.0,0.03,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
3DS,2014.0,Sports,0.09,0.34,0.0,0.03,0.45,35.0,2.999073846901081,4.209473102829448,1,1,0,0,0,0
SNES,1996.0,Sports,0.0,0.0,0.45,0.0,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS2,2005.0,Sports,0.0,0.0,0.45,0.0,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
GC,2003.0,Action,0.34,0.09,0.02,0.01,0.45,45.0,3.1354942159291497,4.143134726391533,0,0,0,0,0,0
X360,2014.0,Action,0.2,0.21,0.0,0.04,0.45,11.0,1.3862943611198906,4.248495242049359,0,0,0,0,0,1
XB,2004.0,Racing,0.34,0.1,0.0,0.02,0.45,162.22990777338603,2.772588722239781,4.454347296253507,0,0,1,0,0,0
SNES,1995.0,Sports,0.0,0.0,0.45,0.0,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,1,0,0
X360,2009.0,Racing,0.24,0.17,0.0,0.05,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
X360,2014.0,Sports,0.35,0.05,0.0,0.05,0.45,47.0,2.999073846901081,4.209473102829448,1,1,0,0,0,0
GC,2002.0,Role-Playing,0.23,0.06,0.16,0.01,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,1,0
PSV,2012.0,Action,0.21,0.14,0.01,0.09,0.45,221.0,2.70805020110221,4.31748811353631,0,0,0,0,0,0
PS2,2002.0,Action,0.22,0.17,0.0,0.06,0.45,5.0,1.6094379124341003,3.828641396489095,0,0,0,1,0,0
DS,2006.0,Fighting,0.29,0.01,0.12,0.03,0.45,23.0,3.4657359027997265,4.418840607796598,0,0,0,0,0,0
DS,2008.0,Adventure,0.42,0.0,0.0,0.03,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
Wii,2011.0,Misc,0.43,0.0,0.0,0.03,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,1,0,0
PS2,2006.0,Sports,0.38,0.01,0.0,0.06,0.45,15.0,3.091042453358316,4.189654742026425,0,0,0,0,0,0
2600,1985.0,Puzzle,0.42,0.03,0.0,0.0,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
DS,2011.0,Action,0.42,0.0,0.0,0.03,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS,1998.0,Sports,0.25,0.17,0.0,0.03,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,1,0,0
Wii,2008.0,Action,0.13,0.27,0.0,0.05,0.45,20.0,2.4849066497880004,4.248495242049359,0,0,0,0,0,1
PS2,2005.0,Shooter,0.22,0.17,0.0,0.06,0.45,52.0,3.6109179126442243,4.31748811353631,0,0,0,0,0,1
PS,1998.0,Sports,0.0,0.0,0.42,0.03,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS2,2004.0,Sports,0.22,0.17,0.0,0.06,0.45,23.0,3.044522437723423,4.31748811353631,0,0,0,0,0,0
DS,2007.0,Puzzle,0.42,0.0,0.0,0.03,0.45,6.0,2.70805020110221,4.3694478524670215,0,0,0,0,1,0
Wii,2008.0,Misc,0.42,0.0,0.0,0.03,0.45,21.0,2.999073846901081,4.209473102829448,1,1,0,0,0,0
Wii,2007.0,Adventure,0.42,0.0,0.0,0.03,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
3DS,2014.0,Action,0.21,0.2,0.0,0.04,0.45,7.0,2.999073846901081,4.209473102829448,1,1,0,0,0,1
Wii,2009.0,Adventure,0.42,0.0,0.0,0.03,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
XB,2003.0,Shooter,0.34,0.1,0.0,0.02,0.45,30.0,3.4011973816621555,4.330733340286331,0,0,0,0,0,0
2600,1981.0,Simulation,0.42,0.02,0.0,0.0,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PSP,2009.0,Action,0.03,0.02,0.38,0.02,0.45,10.0,3.332204510175204,4.174387269895637,0,0,0,1,0,0
DS,2008.0,Misc,0.41,0.0,0.0,0.03,0.45,4.0,1.9459101490553132,4.219507705176107,0,0,0,0,0,0
X360,2008.0,Strategy,0.18,0.23,0.0,0.05,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
X360,2008.0,Shooter,0.3,0.11,0.0,0.04,0.45,26.0,3.9889840465642745,4.23410650459726,0,0,0,0,0,0
X360,2011.0,Sports,0.4,0.03,0.0,0.03,0.45,24.0,3.295836866004329,4.23410650459726,0,0,0,0,0,0
DS,2005.0,Simulation,0.4,0.05,0.0,0.0,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,1,0
PS,1998.0,Action,0.25,0.17,0.0,0.03,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PSP,2006.0,Racing,0.37,0.03,0.0,0.04,0.45,162.22990777338603,3.4657359027997265,4.330733340286331,0,0,1,0,0,0
PSP,2007.0,Racing,0.02,0.38,0.01,0.05,0.45,27.0,3.1354942159291497,4.330733340286331,0,0,0,0,0,0
GBA,2004.0,Misc,0.32,0.12,0.0,0.01,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PSV,2013.0,Role-Playing,0.0,0.0,0.45,0.0,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
Wii,2010.0,Action,0.29,0.13,0.0,0.04,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,1
Wii,2007.0,Action,0.39,0.02,0.0,0.03,0.45,22.0,2.772588722239781,4.23410650459726,0,0,0,0,0,1
PS2,2001.0,Sports,0.0,0.0,0.45,0.0,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS3,2011.0,Shooter,0.2,0.15,0.03,0.07,0.45,58.0,3.9512437185814275,4.2626798770413155,0,0,0,0,0,0
PS2,2003.0,Action,0.22,0.17,0.0,0.06,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
SNES,1993.0,Fighting,0.0,0.0,0.45,0.0,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,1,0,0
N64,1998.0,Action,0.36,0.08,0.0,0.01,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,1,0,0
N64,2000.0,Puzzle,0.36,0.08,0.0,0.01,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
Wii,2009.0,Sports,0.09,0.26,0.05,0.05,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
DS,2010.0,Puzzle,0.37,0.05,0.0,0.03,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,1
WiiU,2014.0,Action,0.21,0.21,0.0,0.04,0.45,20.0,2.999073846901081,4.209473102829448,1,1,0,0,0,1
GBA,2001.0,Fighting,0.32,0.12,0.0,0.01,0.45,13.0,2.6390573296152584,4.406719247264253,0,0,0,0,1,0
PS2,2006.0,Role-Playing,0.22,0.03,0.0,0.2,0.45,116.0,3.9512437185814275,4.454347296253507,0,0,0,0,0,0
PS,1995.0,Role-Playing,0.0,0.0,0.42,0.03,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,1,0
GBA,2004.0,Racing,0.32,0.12,0.0,0.01,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
DS,2007.0,Misc,0.41,0.0,0.0,0.03,0.45,6.0,2.999073846901081,4.209473102829448,1,1,0,0,0,0
PS,1995.0,Action,0.0,0.0,0.42,0.03,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
X360,2008.0,Fighting,0.26,0.15,0.0,0.04,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,1
Wii,2007.0,Action,0.39,0.02,0.01,0.04,0.45,17.0,2.833213344056216,3.970291913552122,0,0,0,0,0,1
DS,2007.0,Action,0.41,0.0,0.0,0.03,0.45,162.22990777338603,2.1972245773362196,4.060443010546419,0,0,1,0,0,0
X360,2007.0,Racing,0.12,0.28,0.0,0.05,0.45,30.0,3.7376696182833684,4.343805421853684,0,0,0,0,0,0
PS2,2009.0,Misc,0.0,0.06,0.0,0.39,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS,1999.0,Role-Playing,0.0,0.0,0.42,0.03,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,1,0,0
PS2,2008.0,Misc,0.09,0.02,0.0,0.34,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,1
PS2,2004.0,Action,0.04,0.03,0.36,0.01,0.45,13.0,2.833213344056216,4.276666119016055,0,0,0,0,0,0
DS,2009.0,Misc,0.32,0.09,0.0,0.04,0.45,6.0,2.0794415416798357,4.382026634673881,0,0,0,0,0,1
PS,1994.0,Sports,0.25,0.17,0.0,0.03,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
XB,2005.0,Fighting,0.34,0.1,0.0,0.02,0.45,47.0,3.871201010907891,4.02535169073515,0,0,0,0,0,0
GC,2004.0,Sports,0.35,0.09,0.0,0.01,0.45,7.0,2.833213344056216,4.418840607796598,0,0,0,0,0,0
PS3,2011.0,Shooter,0.21,0.16,0.01,0.07,0.45,103.0,3.871201010907891,4.30406509320417,0,0,0,0,0,1
2600,1987.0,Shooter,0.42,0.02,0.0,0.0,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
GC,2004.0,Fighting,0.35,0.09,0.0,0.01,0.45,81.0,3.8501476017100584,4.3694478524670215,0,0,0,0,0,0
X360,2009.0,Sports,0.4,0.02,0.0,0.03,0.45,37.0,3.6888794541139363,4.382026634673881,0,0,0,0,0,0
XB,2003.0,Racing,0.36,0.07,0.0,0.01,0.45,162.22990777338603,2.833213344056216,4.219507705176107,0,0,1,0,0,1
X360,2010.0,Action,0.21,0.2,0.0,0.04,0.45,46.0,3.7376696182833684,3.6375861597263857,0,0,0,0,0,0
PS,2000.0,Racing,0.25,0.17,0.0,0.03,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,1
PS4,2016.0,Sports,0.02,0.27,0.11,0.05,0.45,478.0,4.110873864173311,4.442651256490317,0,0,0,0,0,0
PS2,2002.0,Racing,0.22,0.17,0.0,0.06,0.45,6.0,3.091042453358316,4.290459441148391,0,0,0,0,0,0
PS,1996.0,Role-Playing,0.14,0.09,0.19,0.03,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
3DS,2011.0,Fighting,0.13,0.21,0.07,0.03,0.45,113.0,4.127134385045092,4.3694478524670215,0,0,0,1,0,0
PS3,2015.0,Action,0.16,0.21,0.0,0.07,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,1
Wii,2010.0,Misc,0.0,0.39,0.0,0.06,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,1,0,0
PC,2014.0,Shooter,0.13,0.29,0.0,0.03,0.45,1647.0,3.1354942159291497,4.394449154672439,0,0,0,0,1,0
PS3,2013.0,Action,0.23,0.14,0.0,0.08,0.45,221.0,3.295836866004329,4.110873864173311,0,0,0,0,0,0
2600,1981.0,Action,0.42,0.03,0.0,0.0,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,1,0,0
PS2,2004.0,Action,0.22,0.17,0.0,0.06,0.45,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PC,2014.0,Action,0.15,0.26,0.0,0.03,0.45,3288.0,2.8903717578961645,4.343805421853684,0,0,0,0,0,0
GBA,2004.0,Sports,0.32,0.12,0.0,0.01,0.45,14.0,3.6375861597263857,4.430816798843313,0,0,0,0,0,0
Wii,2008.0,Sports,0.18,0.22,0.0,0.05,0.45,18.0,2.4849066497880004,3.912023005428146,0,0,0,0,0,0
X360,2011.0,Shooter,0.3,0.11,0.01,0.04,0.45,139.0,4.2626798770413155,4.31748811353631,0,0,0,0,0,1
Wii,2010.0,Misc,0.42,0.0,0.0,0.03,0.45,4.0,2.5649493574615367,4.356708826689592,0,0,0,0,0,1
PS2,2004.0,Misc,0.22,0.17,0.0,0.06,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS3,2011.0,Shooter,0.13,0.23,0.0,0.08,0.44,162.0,3.828641396489095,4.248495242049359,0,0,0,0,0,0
DS,2009.0,Simulation,0.42,0.0,0.0,0.03,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,1
Wii,2009.0,Misc,0.41,0.0,0.0,0.03,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,1,0,0
PS2,2006.0,Sports,0.37,0.01,0.0,0.06,0.44,27.0,2.9444389791664403,4.248495242049359,0,0,0,1,0,0
X360,2010.0,Sports,0.38,0.04,0.0,0.03,0.44,162.22990777338603,1.3862943611198906,3.784189633918261,0,0,1,0,0,1
PS2,2005.0,Misc,0.37,0.01,0.0,0.06,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
XB,2005.0,Sports,0.06,0.33,0.02,0.03,0.44,9.0,2.9444389791664403,4.48863636973214,0,0,0,0,0,0
N64,1999.0,Sports,0.42,0.02,0.0,0.0,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS2,2004.0,Action,0.22,0.17,0.0,0.06,0.44,12.0,3.2188758248682006,3.8501476017100584,0,0,0,0,0,0
PS2,2005.0,Misc,0.37,0.01,0.0,0.06,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS2,2002.0,Adventure,0.22,0.17,0.0,0.06,0.44,41.0,3.295836866004329,4.356708826689592,0,0,0,0,0,1
PS2,2004.0,Action,0.22,0.17,0.0,0.06,0.44,19.0,3.713572066704308,4.1588830833596715,0,0,0,0,0,0
WiiU,2015.0,Sports,0.13,0.15,0.14,0.02,0.44,133.0,4.060443010546419,4.060443010546419,0,0,0,0,0,0
PS3,2011.0,Sports,0.09,0.24,0.03,0.08,0.44,28.0,3.8918202981106265,4.23410650459726,0,0,0,0,0,0
XB,2005.0,Role-Playing,0.3,0.12,0.0,0.02,0.44,199.0,3.912023005428146,4.430816798843313,0,0,0,0,0,0
X360,2012.0,Fighting,0.26,0.14,0.01,0.04,0.44,47.0,3.5553480614894135,4.30406509320417,0,0,0,0,0,0
PS3,2014.0,Shooter,0.14,0.21,0.02,0.07,0.44,115.0,2.999073846901081,4.209473102829448,1,1,0,0,1,0
PS4,2014.0,Action,0.19,0.18,0.0,0.07,0.44,32.0,3.828641396489095,4.356708826689592,0,0,0,0,0,0
PSP,2007.0,Strategy,0.04,0.26,0.0,0.14,0.44,25.0,3.258096538021482,4.382026634673881,0,0,0,0,0,0
DS,2009.0,Action,0.26,0.14,0.0,0.04,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS2,2003.0,Action,0.22,0.17,0.0,0.06,0.44,21.0,3.4965075614664802,4.02535169073515,0,0,0,0,0,0
XB,2006.0,Action,0.33,0.1,0.0,0.02,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
DS,2008.0,Strategy,0.37,0.03,0.02,0.03,0.44,21.0,3.258096538021482,4.382026634673881,0,0,0,0,0,0
PS,1996.0,Sports,0.0,0.0,0.41,0.03,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
XB,2002.0,Sports,0.35,0.08,0.0,0.01,0.44,11.0,2.6390573296152584,4.477336814478207,0,0,0,0,0,0
PS2,2005.0,Shooter,0.37,0.01,0.0,0.06,0.44,65.0,3.7376696182833684,4.382026634673881,0,0,0,0,0,0
XB,2005.0,Action,0.33,0.1,0.0,0.02,0.44,21.0,2.6390573296152584,3.912023005428146,0,0,0,0,0,1
GBA,2003.0,Platform,0.0,0.0,0.43,0.01,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS,1997.0,Shooter,0.25,0.17,0.0,0.03,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,1,0,0
PS3,2007.0,Sports,0.36,0.04,0.0,0.04,0.44,17.0,3.58351893845611,4.290459441148391,0,0,0,0,0,0
PS,1999.0,Racing,0.07,0.05,0.3,0.03,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,1,0
XOne,2014.0,Action,0.25,0.15,0.0,0.04,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,1
XB,2006.0,Action,0.33,0.1,0.0,0.02,0.44,15.0,3.295836866004329,4.442651256490317,0,0,0,0,1,0
X360,2008.0,Action,0.16,0.23,0.0,0.05,0.44,88.0,4.204692619390966,4.219507705176107,0,0,0,0,0,0
Wii,2007.0,Simulation,0.4,0.01,0.0,0.03,0.44,6.0,2.999073846901081,4.209473102829448,1,1,0,0,0,0
DS,2005.0,Action,0.13,0.0,0.31,0.01,0.44,45.0,3.713572066704308,4.418840607796598,0,0,0,0,0,1
PS2,2005.0,Shooter,0.0,0.0,0.44,0.0,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS,2000.0,Puzzle,0.25,0.17,0.0,0.03,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS,1996.0,Role-Playing,0.25,0.17,0.0,0.03,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,1,0,0
SNES,1996.0,Puzzle,0.0,0.0,0.44,0.0,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,1,0
X360,2014.0,Role-Playing,0.25,0.15,0.01,0.04,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,1
Wii,2008.0,Misc,0.1,0.29,0.0,0.05,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
Wii,2009.0,Simulation,0.26,0.14,0.0,0.04,0.44,5.0,1.6094379124341003,4.189654742026425,0,0,0,0,0,0
NES,1991.0,Puzzle,0.16,0.03,0.15,0.1,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,1,0
N64,1997.0,Shooter,0.35,0.08,0.0,0.01,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,1,0,0
DS,2011.0,Action,0.32,0.08,0.0,0.03,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
DS,2004.0,Simulation,0.4,0.01,0.02,0.0,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
GC,2005.0,Misc,0.34,0.09,0.0,0.01,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS2,2007.0,Strategy,0.0,0.0,0.44,0.0,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,1,0
Wii,2009.0,Action,0.19,0.2,0.0,0.05,0.44,6.0,1.791759469228055,4.23410650459726,0,0,0,0,0,1
PS,2001.0,Action,0.24,0.17,0.0,0.03,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,1,0,0
X360,2012.0,Action,0.28,0.12,0.0,0.04,0.44,160.0,3.9512437185814275,4.3694478524670215,0,0,0,0,0,0
PSP,2010.0,Shooter,0.17,0.13,0.06,0.08,0.44,20.0,3.9318256327243257,4.30406509320417,0,0,0,0,0,0
XB,2004.0,Racing,0.34,0.08,0.0,0.02,0.44,12.0,2.8903717578961645,4.394449154672439,0,0,0,0,0,0
DS,2007.0,Simulation,0.4,0.0,0.0,0.03,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS2,2002.0,Sports,0.0,0.0,0.44,0.0,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS,2000.0,Sports,0.24,0.17,0.0,0.03,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
GC,2004.0,Fighting,0.0,0.0,0.43,0.01,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,1,0,0
Wii,2011.0,Sports,0.41,0.0,0.0,0.03,0.44,5.0,2.999073846901081,4.209473102829448,1,1,0,0,0,0
GC,2003.0,Platform,0.34,0.09,0.0,0.01,0.44,44.0,3.4011973816621555,4.2626798770413155,0,0,0,0,0,0
X360,2013.0,Action,0.26,0.12,0.01,0.04,0.44,1438.0,4.174387269895637,4.454347296253507,0,0,0,0,0,0
GBA,2003.0,Action,0.31,0.12,0.0,0.01,0.44,162.22990777338603,1.791759469228055,3.970291913552122,0,0,1,0,0,0
PSV,2012.0,Action,0.0,0.28,0.05,0.11,0.44,89.0,2.1972245773362196,4.04305126783455,0,0,0,0,0,0
PS3,2008.0,Platform,0.19,0.18,0.0,0.07,0.44,36.0,3.091042453358316,4.07753744390572,0,0,0,0,0,1
PS2,2003.0,Misc,0.0,0.0,0.44,0.0,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
Wii,2009.0,Action,0.09,0.02,0.32,0.01,0.44,22.0,3.258096538021482,4.007333185232471,0,0,0,0,0,0
Wii,2009.0,Action,0.25,0.14,0.0,0.04,0.44,6.0,1.6094379124341003,4.174387269895637,0,0,0,0,0,1
GC,2002.0,Shooter,0.34,0.09,0.0,0.01,0.44,65.0,2.8903717578961645,4.477336814478207,0,0,0,0,0,1
GBA,2003.0,Action,0.31,0.12,0.0,0.01,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,1,0
GC,2002.0,Adventure,0.34,0.09,0.0,0.01,0.44,173.0,3.713572066704308,4.5217885770490405,0,0,0,0,0,0
Wii,2009.0,Misc,0.41,0.0,0.0,0.03,0.44,5.0,2.0794415416798357,3.970291913552122,0,0,0,0,0,0
GBA,2004.0,Action,0.31,0.12,0.0,0.01,0.44,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS2,2005.0,Fighting,0.36,0.01,0.0,0.06,0.44,33.0,3.1780538303479458,4.31748811353631,0,0,0,0,0,0
X360,2007.0,Shooter,0.36,0.04,0.01,0.03,0.44,196.0,4.143134726391533,4.406719247264253,0,0,0,0,0,0
Wii,2007.0,Strategy,0.38,0.02,0.0,0.03,0.44,40.0,2.6390573296152584,4.248495242049359,0,0,0,0,1,0
